Sender_name,Receiver_name,currency,timestamp,total_sent,total_received,balance
Teixeira S.A.S.,"Gough, Evans and Blackburn",EUR,2021-10-09T17:09:02.666752Z,15830.431048618366,16017.458659317212,187.02761069884582
Stichting Mol,Poirier S.A.R.L.,EUR,2021-10-12T12:24:27.919888Z,1378.96007511198,45597.18764817449,44218.22757306251
van der Noot & Jonkman,Didier,EUR,2021-10-18T05:25:54.960311Z,57179.22445471788,57179.22445471788,0.0
Teixeira S.A.S.,Schofield PLC,EUR,2021-10-21T17:56:33.12362Z,62686.04465036116,48277.66015625,-14408.38449411116
Fitzgerald Inc,Johnson Group,EUR,2021-11-18T04:42:28.349631Z,12004.51171875,88247.8203125,76243.30859375
Koninklijke van Brunswijk,Nelson Group,EUR,2023-05-05T04:57:35.53866Z,62588.5162,62588.5162,0.0
"Cooper, Bailey and Barker",Kusch,EUR,2021-01-12T01:52:44.858783Z,69807.77564783885,69807.77564783885,0.0
Leduc,Kusch,EUR,2021-01-12T01:52:44.858783Z,76001.40690305288,69807.77564783885,-6193.63125521403
Merle,Winters Groep,EUR,2021-02-01T08:55:53.48794Z,82638.81100365709,100806.28073607577,18167.469732418685
Fitzgerald Inc,Freudenberger Grein Groth GmbH & Co. KG,EUR,2021-03-09T05:05:00.582853Z,93625.9677,81430.20177914319,-12195.765920856807
Mars,Coolen NV,EUR,2021-03-22T16:30:37.899075Z,47151.00832740635,69602.78413479011,22451.77580738376
Freudenberger Grein Groth GmbH & Co. KG,"Kaur, Kemp and Turner",EUR,2021-03-25T00:30:43.804192Z,61868.62890625,47502.34765625,-14366.28125
Striebitz,Didier,EUR,2021-04-04T16:28:44.678169Z,62444.60546875,62444.60546875,0.0
Auger Legros SARL,Johnson Group,EUR,2021-04-07T22:09:55.891332Z,73238.87792286668,73238.87792286668,0.0
Mars,"Stokes, Adams and Robinson",EUR,2021-05-02T12:04:30.16243Z,7955.255,7955.255,0.0
Bosch & van Haspengouw,Teixeira S.A.S.,EUR,2021-05-12T05:32:59.113338Z,79978.9339,79978.9339,0.0
Franke,Guillon Lesage S.A.,EUR,2021-05-20T19:38:18.328543Z,75281.7358,51090.429722992005,-24191.30607700799
Fischer,"Simpson, Thompson and Lamb",EUR,2021-05-27T06:13:58.494736Z,56385.6015625,64039.616530188076,7654.014967688076
Lesage,Haneberg & Cammel,EUR,2021-07-03T06:59:37.847062Z,14298.5732421875,7750.048156709341,-6548.525085478159
Guibert S.A.S.,Putz,EUR,2021-07-03T06:59:37.847062Z,92019.8515625,74968.86853959222,-17050.983022907778
Koninklijke Stinis,Cameron-Buckley,EUR,2021-07-11T15:42:07.549918Z,84703.9695945946,96561.38377646284,11857.41418186824
Morin Boulanger et Fils,Croon Elektrotechniek,EUR,2021-07-15T01:40:32.624149Z,3767.223788702677,3767.223788702677,0.0
"Johnson, Hope and Evans","Forster, Mitchell and Hall",EUR,2021-07-26T01:16:46.701073Z,35669.38008955342,96618.671875,60949.29178544658
Fischer,Royal Schagen,EUR,2021-07-31T18:12:40.719529Z,68973.92792851626,96752.08301700577,27778.15508848951
Fabre SA,de Koning NV,EUR,2021-08-04T11:18:49.97038Z,98437.01216594924,133366.2906170498,34929.278451100545
Jäntsch Schweitzer GmbH & Co. KG,Armstrong Inc,EUR,2021-08-16T18:46:27.256623Z,107507.251016491,107507.251016491,0.0
Morin Boulanger et Fils,"Forster, Mitchell and Hall",EUR,2021-08-20T15:11:05.612402Z,56255.8359375,82302.79457088668,26046.958633386676
"Sanderson, Fox and Holland","Houghton, Murray and Thomas",EUR,2021-08-22T04:49:00.692588Z,107615.67021681355,31454.041314822596,-76161.62890199096
Fabre SA,Schofield PLC,EUR,2021-08-28T21:26:35.645127Z,18710.255418691162,72143.18645795475,53432.931039263596
Wagenvoort Groep,Poirier S.A.R.L.,EUR,2021-09-16T17:12:31.682319Z,49870.60546875,49870.60546875,0.0
Maillard,Morin Boulanger et Fils,EUR,2021-09-23T18:15:53.788337Z,84581.00832574147,84581.00832574147,0.0
Stichting Mol,Jäntsch Schweitzer GmbH & Co. KG,EUR,2021-09-24T05:26:57.208962Z,79637.4740198528,79637.4740198528,0.0
"Forster, Mitchell and Hall",Leduc,EUR,2021-09-27T07:24:22.805047Z,30608.626953125,77976.99033302967,47368.363379904666
"Cooke, Cook and Bell",Morin Boulanger et Fils,EUR,2021-10-16T04:53:43.38928Z,7303.171104742383,7303.171104742383,0.0
"Jones, Smith and Waters",Trespa,EUR,2021-10-17T23:23:18.26368Z,33754.849010194404,70119.203125,36364.354114805596
"Johnston, Woodward and Anderson",Trespa,EUR,2021-10-18T15:18:20.778045Z,20828.361059444276,20828.361059444276,0.0
"Howard, McCarthy and Harris",Sontag,EUR,2021-11-09T14:33:51.285102Z,30984.349069464202,112619.4483406778,81635.0992712136
Cameron-Buckley,"Stokes, Adams and Robinson",EUR,2021-11-16T03:32:05.379489Z,38443.83984375,104427.08629100036,65983.24644725036
Leconte,Samson,EUR,2022-02-22T03:52:50.137432Z,54385.9044,54385.9044,0.0
Putz,Leduc,EUR,2022-09-02T17:37:10.346544Z,93033.7695,93033.7695,0.0
Armstrong Inc,"Johnston, Woodward and Anderson",EUR,2021-01-09T16:14:41.160841Z,69436.8671875,6096.102270033191,-63340.76491746681
Scholz AG,Cameron-Buckley,EUR,2021-02-14T23:05:27.05564Z,59123.1171875,59123.1171875,0.0
Ruppert GmbH & Co. KG,Drub Mende e.V.,EUR,2021-03-17T22:01:21.130857Z,54731.4609375,30753.78683634477,-23977.67410115523
Bailey-Bolton,de Koning NV,EUR,2021-03-21T19:24:06.533518Z,35403.7867,35403.7867,0.0
Stichting Mol,Franke,EUR,2021-04-06T10:29:02.305337Z,72449.34936057605,72449.34936057605,0.0
Gröttner,"Wilkinson, Bennett and Stanley",EUR,2021-04-20T16:25:55.88611Z,20851.718083214793,20851.718083214793,0.0
Fabre S.A.,Portaal,EUR,2021-05-07T07:37:13.204711Z,98541.98299423019,98541.98299423019,0.0
Speer Dobes GmbH,Moran PLC,EUR,2021-05-22T03:10:30.628868Z,6955.537465919867,6955.537465919867,0.0
"Forster, Mitchell and Hall",Moran PLC,EUR,2021-06-25T21:13:04.980666Z,23690.660030608302,23690.660030608302,0.0
Bourdon S.A.,Legendre Maury S.A.,EUR,2021-07-15T07:15:25.82732Z,87668.79297060218,87668.79297060218,0.0
Georges S.A.,Fabre S.A.,EUR,2021-08-04T11:18:49.97038Z,66683.1453085249,5262.423887396647,-61420.72142112825
Remmers & Gruijl,Nelson Group,EUR,2021-08-06T13:14:03.099027Z,6209.814732624534,13434.806640625,7224.991908000466
"Jones, Smith and Waters",Didier,EUR,2021-08-06T16:32:50.588085Z,79919.2494812228,30701.169390559695,-49218.080090663105
Leblanc S.A.S.,Trespa,EUR,2021-08-15T23:20:45.497359Z,99708.9968,99708.9968,0.0
Koninklijke van Brunswijk,Guillon Lesage S.A.,EUR,2021-08-29T05:01:49.942719Z,80555.4765625,57181.739716690376,-23373.736845809624
Valette Fleury SA,Poirier S.A.R.L.,EUR,2021-08-30T00:10:08.837434Z,17170.076753234032,58422.8984375,41252.82168426597
Armstrong Inc,Stichting Mol,EUR,2021-09-15T18:02:21.808829Z,79201.22836652442,79201.22836652442,0.0
"Sanderson, Fox and Holland",Wagenvoort Groep,EUR,2021-09-28T12:36:16.00997Z,90383.06810099573,37803.324294689424,-52579.74380630631
Fabre S.A.,Haneberg & Cammel,EUR,2021-10-21T17:08:44.931595Z,45927.56119606449,45927.56119606449,0.0
Morin Boulanger et Fils,Lesage,EUR,2021-10-27T10:03:43.078846Z,18722.132121825594,4568.184806928639,-14153.947314896956
Trespa,Bourdon S.A.,EUR,2021-11-14T21:37:52.955167Z,43590.19725036344,59913.666133238505,16323.468882875066
"Simpson, Thompson and Lamb",Fischer,EUR,2022-02-06T17:26:26.200175Z,16310.7993,16310.7993,0.0
Lesage,Pruvost,EUR,2021-01-05T08:03:58.843507Z,6442.917344268183,6442.917344268183,0.0
Koninklijke Stinis,Gröttner,EUR,2021-01-08T11:40:52.429949Z,40351.86301118534,40351.86301118534,0.0
Morin Boulanger et Fils,Teixeira S.A.S.,EUR,2021-02-04T14:35:28.093238Z,174187.453125,131081.0539392188,-43106.39918578119
"Johnston, Woodward and Anderson",Cameron-Buckley,EUR,2021-02-16T15:44:49.229318Z,18425.6616,57980.82185064278,39555.16025064278
Striebitz,Langlois S.A.R.L.,EUR,2021-02-21T18:05:41.018975Z,63935.5221619091,63935.5221619091,0.0
Bailey-Bolton,Bailey-Bolton,EUR,2021-03-02T23:55:39.858609Z,44725.63328778216,46740.72043799973,2015.087150217565
Armstrong Inc,Poirier S.A.R.L.,EUR,2021-04-01T23:52:40.814686Z,8297.458311091677,77844.26120199147,69546.8028908998
Kusch,Grein Groth,EUR,2021-04-27T07:03:03.638999Z,32351.436680844537,43203.317626837365,10851.880945992827
Johnson Group,"Smith, Francis and Hurst",EUR,2021-05-13T20:24:53.436028Z,65492.85811443466,65492.85811443466,0.0
Samson et Fils,Evans-Davison,EUR,2021-05-19T01:24:54.483071Z,5385.97998046875,5385.97998046875,0.0
"Howard, McCarthy and Harris",Valette Fleury SA,EUR,2021-05-27T10:47:15.118848Z,69428.8984375,68672.859375,-756.0390625
Croon Elektrotechniek,Morin Boulanger et Fils,EUR,2021-05-29T10:40:11.441009Z,17593.396233404455,17593.396233404455,0.0
Schmitt,Johnson Group,EUR,2021-05-30T01:02:03.51901Z,52957.7003,37923.8839,-15033.816399999996
Remmers & Gruijl,Bourdon S.A.,EUR,2021-06-02T18:10:50.952268Z,34235.18590356964,38654.46173536026,4419.275831790619
Haneberg & Cammel,Le Gall SARL,EUR,2021-07-03T06:59:37.847062Z,40154.268998633466,14298.5732421875,-25855.695756445966
Armstrong Inc,Wagenvoort Groep,EUR,2021-07-08T10:53:31.761763Z,20513.785159808685,85426.62399241347,64912.838832604786
Koninklijke van Brunswijk,"Gough, Evans and Blackburn",EUR,2021-07-14T23:20:23.208775Z,6941.973,6941.973,0.0
Leduc,"Johnson, Hope and Evans",EUR,2021-07-22T23:58:39.561568Z,20025.365234375,20025.365234375,0.0
Koninklijke Stinis,Johnson-Dawson,EUR,2021-07-26T14:53:26.777102Z,32901.5899122807,34694.7265625,1793.1366502192977
Merle,Guillon Lesage S.A.,EUR,2021-08-11T04:29:26.252679Z,26131.373046875,91049.91998577525,64918.546938900254
"Smith, Francis and Hurst","Howard, McCarthy and Harris",EUR,2021-08-17T00:43:15.16549Z,90754.14653086952,90754.14653086952,0.0
Goudriaan NV,"Kaur, Kemp and Turner",EUR,2021-08-26T23:13:39.270488Z,66755.43808490822,41352.47747747748,-25402.960607430745
Stichting Mol,Poirier S.A.R.L.,EUR,2021-08-30T00:10:08.837434Z,55084.649255997574,58422.8984375,3338.249181502426
Kostolzin AG,Moran PLC,EUR,2021-10-07T03:01:52.55137Z,40403.6722,40403.6722,0.0
Kostolzin AG,Fabre S.A.,EUR,2021-10-19T11:05:13.984221Z,56357.92578125,56357.92578125,0.0
Evans-Davison,Groen & de Leeuw,EUR,2021-10-27T23:38:41.704757Z,11520.60829332622,11520.60829332622,0.0
"Gough, Evans and Blackburn",Moran PLC,EUR,2021-11-12T02:51:31.157595Z,78839.11687375068,72269.3107,-6569.80617375068
Leblanc S.A.S.,"Sanderson, Fox and Holland",EUR,2021-11-19T01:26:18.260051Z,69639.75,69639.75,0.0
Mars,Nelson Group,EUR,2022-04-03T17:50:00.889313Z,57279.2525,57279.2525,0.0
"Kaur, Kemp and Turner",Henderson-Wright,EUR,2021-01-17T03:19:46.124424Z,167952.8696625,79698.738,-88254.13166249999
Leblanc S.A.S.,Drub Mende e.V.,EUR,2021-01-23T03:19:01.236297Z,135564.97592222423,56099.99462867473,-79464.9812935495
Fitzgerald Inc,Trespa,EUR,2021-01-23T03:19:01.236297Z,95276.7265625,95276.7265625,0.0
Jäntsch Schweitzer GmbH & Co. KG,Trespa,EUR,2021-02-16T15:44:49.229318Z,57980.82185064278,18425.6616,-39555.16025064278
"Cooke, Cook and Bell",Bailey-Bolton,EUR,2021-03-04T10:35:22.01179Z,38862.39513741269,38862.39513741269,0.0
"Howard, McCarthy and Harris","Jones, Smith and Waters",EUR,2021-03-08T21:24:19.963776Z,33503.26724751067,33503.26724751067,0.0
Stichting Mol,Auger Legros SARL,EUR,2021-03-08T21:36:14.679797Z,88812.88591962749,88812.88591962749,0.0
Cichorius,Cichorius,EUR,2021-04-01T23:52:40.814686Z,71004.64052535682,88423.55678046467,17418.916255107848
Hanegraaff & Hekker,Cichorius,EUR,2021-04-01T23:52:40.814686Z,88423.55678046467,88423.55678046467,0.0
van der Noot & Jonkman,Cichorius,EUR,2021-04-04T07:45:57.593727Z,97607.36863699346,97607.36863699346,0.0
"Cooke, Cook and Bell",Bailey-Bolton,EUR,2021-04-05T10:49:19.917291Z,70704.93597530114,70704.93597530114,0.0
Kusch,Moran PLC,EUR,2021-04-11T06:20:35.855091Z,58389.8610689341,58389.8610689341,0.0
Nelson Group,Merle,EUR,2021-04-12T14:38:28.232432Z,75509.4313063063,75509.4313063063,0.0
Bailey-Bolton,Georges S.A.,EUR,2021-05-07T17:02:22.190687Z,28834.369140625,54522.55890019233,25688.18975956733
Putz,"Cooke, Cook and Bell",EUR,2021-05-10T01:56:38.08901Z,37059.73925118939,37059.73925118939,0.0
Bosch & van Haspengouw,Fischer,EUR,2021-05-12T05:32:59.113338Z,79978.9339,54821.78399850082,-25157.149901499186
Trespa,Wagenvoort Groep,EUR,2021-05-12T05:32:59.113338Z,75663.74022048364,75663.74022048364,0.0
Hanegraaff & Hekker,Koninklijke Stinis,EUR,2021-05-27T10:47:15.118848Z,68672.859375,15162.39960553953,-53510.459769460474
Fischer,Hanegraaff & Hekker,EUR,2021-06-02T14:43:17.365464Z,81434.796875,48217.52734375,-33217.26953125
"Sanderson, Fox and Holland",Hayes and Sons,EUR,2021-07-13T18:01:32.787331Z,99782.203125,99782.203125,0.0
"Simpson, Thompson and Lamb",Welch-Ryan,EUR,2021-08-26T23:13:39.270488Z,86677.54042666261,86677.54042666261,0.0
Bailey-Bolton,Schofield PLC,EUR,2021-08-28T21:26:35.645127Z,72143.18645795475,72143.18645795475,0.0
Valette Fleury SA,Putz,EUR,2021-08-30T00:10:08.837434Z,17170.076753234032,21788.8241,4618.747346765969
Cameron-Buckley,Morin Boulanger et Fils,EUR,2021-09-26T06:23:27.523798Z,41958.3203125,41958.322,0.0016875000001164153
Stichting Mol,Cameron-Buckley,EUR,2021-10-18T15:18:20.778045Z,45912.84375,48075.87640406369,2163.032654063689
Hanegraaff & Hekker,"Sanderson, Fox and Holland",EUR,2021-11-16T03:32:05.379489Z,104427.08629100036,82268.3203125,-22158.765978500363
Fitzgerald Inc,Trespa,EUR,2022-06-04T11:25:09.408478Z,87372.97,87372.97,0.0
"Cooper, Bailey and Barker",Speer Dobes GmbH,EUR,2022-11-12T01:07:45.101684Z,21978.2259,21978.2259,0.0
Striebitz,Koninklijke van Brunswijk,EUR,2022-11-16T03:14:38.506611Z,77682.8704,77682.8704,0.0
"Howard, McCarthy and Harris","Jones, Smith and Waters",EUR,2023-04-13T05:54:38.025819Z,48269.4841,48269.4841,0.0
Valette Fleury SA,"Houghton, Murray and Thomas",EUR,2021-01-17T03:19:46.124424Z,56385.6,81267.2265625,24881.6265625
Evans-Davison,Le Gall SARL,EUR,2021-01-17T03:19:46.124424Z,62063.2363,62063.2363,0.0
Legendre Maury S.A.,Henderson-Wright,EUR,2021-01-17T03:19:46.124424Z,770.0010952841886,39849.369,39079.36790471581
Remmers & Gruijl,Mars,EUR,2021-01-19T04:23:44.085258Z,38628.661,48072.87712572123,9444.216125721228
Le Gall SARL,Haneberg & Cammel,EUR,2021-01-30T19:27:03.43481Z,56307.1015625,65556.89900426743,9249.797441767427
Didier,Drub Mende e.V.,EUR,2021-03-02T06:25:08.658882Z,90932.4102062589,33137.154012565195,-57795.2561936937
Johnson Group,Drub Mende e.V.,EUR,2021-03-17T22:01:21.130857Z,91096.83957897965,30753.78683634477,-60343.05274263488
Nelson Group,Jäntsch Schweitzer GmbH & Co. KG,EUR,2021-03-30T02:14:00.85037Z,58116.50960170697,77844.22275349809,19727.71315179112
"Sanderson, Fox and Holland",Wagenvoort Groep,EUR,2021-04-19T21:16:46.834896Z,49616.550349691795,49616.550349691795,0.0
Royal Schagen,Fischer,EUR,2021-05-07T00:19:09.646407Z,21292.068229119344,75195.28588099673,53903.217651877385
Kusch,"Forster, Mitchell and Hall",EUR,2021-06-22T04:43:17.192912Z,92906.91405540159,92906.91405540159,0.0
Leduc,Putz,EUR,2021-07-03T06:59:37.847062Z,74968.86853959222,74968.86853959222,0.0
Teixeira S.A.S.,Andrews-Finch,EUR,2021-08-21T10:19:18.873463Z,63965.296875,63965.296875,0.0
"Kaur, Kemp and Turner","Johnston, Woodward and Anderson",EUR,2021-09-21T04:37:09.631835Z,77463.0766651483,77463.0766651483,0.0
Koninklijke van Brunswijk,Leblanc S.A.S.,EUR,2021-09-23T13:48:44.390956Z,44177.8117475695,91193.828125,47016.0163774305
Goudriaan NV,van der Noot & Jonkman,EUR,2021-09-28T12:36:16.00997Z,37803.324294689424,12827.62003750795,-24975.704257181475
"Stokes, Adams and Robinson","Jones, Smith and Waters",EUR,2021-10-02T21:23:17.196871Z,18891.204670260147,2837.299084652086,-16053.905585608061
Bourdon S.A.,Armstrong Inc,EUR,2021-10-18T04:48:29.200162Z,38016.8523,88978.4687,50961.6164
Hayes and Sons,Remmers & Gruijl,EUR,2021-10-30T13:29:05.381315Z,49978.8515625,49978.8515625,0.0
Striebitz,Nelson Group,EUR,2021-01-14T18:40:58.001114Z,2833.9843,2833.9843,0.0
"Smith, Francis and Hurst",Koninklijke Stinis,EUR,2021-01-14T23:37:46.500077Z,94640.6015625,100719.47616640922,6078.874603909222
van der Noot & Jonkman,"Houghton, Murray and Thomas",EUR,2021-01-17T03:19:46.124424Z,83945.7607278331,81267.2265625,-2678.534165333098
Valette Fleury SA,Didier,EUR,2021-02-21T01:10:56.551995Z,30701.169390559695,30701.169390559695,0.0
Bender Scheibe GmbH & Co. OHG,Salz,EUR,2021-02-22T07:14:33.289796Z,100571.13732412187,13405.455078125,-87165.68224599687
Remmers & Gruijl,Ruppert GmbH & Co. KG,EUR,2021-03-09T11:03:52.100783Z,61283.859375,61283.859375,0.0
"Johnston, Woodward and Anderson",Hayes and Sons,EUR,2021-03-13T15:56:27.629652Z,20576.473374708978,50151.22688477952,29574.753510070543
Ruppert GmbH & Co. KG,"Smith, Francis and Hurst",EUR,2021-03-16T12:45:39.289918Z,163132.84905676448,165446.78105071365,2313.931993949169
Grein Groth,Lesage,EUR,2021-03-19T18:17:03.505818Z,64746.98046875,64746.98046875,0.0
Henderson-Wright,Remmers & Gruijl,EUR,2021-04-07T10:11:05.848455Z,87497.89642170261,88257.39050006814,759.4940783655329
Georges S.A.,Teixeira S.A.S.,EUR,2021-05-02T12:04:30.16243Z,49755.97,49755.97,0.0
"Kaur, Kemp and Turner","Wilkinson, Bennett and Stanley",EUR,2021-05-13T14:17:58.831074Z,77788.585636198,34539.51209496525,-43249.07354123275
Trespa,Guillon Lesage S.A.,EUR,2021-05-20T19:38:18.328543Z,51090.429722992005,51090.429722992005,0.0
Striebitz,Franke,EUR,2021-06-02T18:10:50.952268Z,10467.1708984375,10467.1708984375,0.0
Henderson-Wright,Langlois S.A.R.L.,EUR,2021-06-02T18:10:50.952268Z,10467.1708984375,10467.1708984375,0.0
Bourdon S.A.,"Kaur, Kemp and Turner",EUR,2021-06-22T00:34:01.791025Z,97668.07771045339,97668.07771045339,0.0
"Stokes, Adams and Robinson",Legendre Maury S.A.,EUR,2021-06-26T00:54:44.205182Z,59298.38151002126,63680.261634527786,4381.880124506526
Goudriaan NV,Guillon Lesage S.A.,EUR,2021-07-03T11:35:57.931238Z,59243.69289336498,52162.88671875,-7080.806174614983
"Wilkinson, Bennett and Stanley",Mars,EUR,2021-08-11T01:17:33.985926Z,48269.484375,24253.973074197795,-24015.511300802205
Delahaye,Koninklijke Stinis,EUR,2021-08-11T01:43:19.467333Z,55371.46875,39168.4558736368,-16203.012876363202
"Houghton, Murray and Thomas",Leconte,EUR,2021-08-15T21:19:40.259464Z,51090.429722992005,87724.19411854897,36633.764395556966
Stichting Mol,"Howard, McCarthy and Harris",EUR,2021-08-30T00:10:08.837434Z,55084.649255997574,68347.64715558256,13262.997899584981
Jäntsch Schweitzer GmbH & Co. KG,Hanegraaff & Hekker,EUR,2021-09-02T03:48:28.445666Z,28679.33373340446,94205.07847992003,65525.74474651557
"Smith, Francis and Hurst",le Gallen & van Gelder,EUR,2021-09-16T15:44:10.085819Z,56246.41796875,56246.41796875,0.0
"Smith, Francis and Hurst",Johnson Group,EUR,2021-09-22T09:19:51.058474Z,74892.34382408725,74892.34382408725,0.0
le Gallen & van Gelder,Franke,EUR,2021-10-01T09:53:53.052319Z,56710.916938708375,56710.916938708375,0.0
Fabre S.A.,Hope-Short,EUR,2021-10-18T18:28:11.147245Z,158930.65467152547,170041.6446069813,11110.989935455844
"Johnston, Woodward and Anderson",Fischer,EUR,2021-11-10T18:25:40.029885Z,89159.09495021337,89159.09495021337,0.0
Drub Mende e.V.,Johnson Group,EUR,2021-11-12T21:48:42.752304Z,47752.61523813139,47752.61523813139,0.0
Salz,Teixeira S.A.S.,EUR,2022-08-18T23:44:47.101437Z,20404.4219,20404.4219,0.0
le Gallen & van Gelder,"Howard, McCarthy and Harris",EUR,2022-11-16T03:14:38.506611Z,10041.414,10041.414,0.0
Auger Legros SARL,"Simpson, Thompson and Lamb",EUR,2023-03-03T17:12:07.250167Z,84539.7358,69639.7498,-14899.98599999999
Hope-Short,Pruvost,EUR,2023-05-14T16:11:16.045573Z,47891.9428,47891.9428,0.0
Striebitz,Cameron-Buckley,EUR,2021-01-15T15:54:36.332284Z,44285.002518966336,61573.153745851116,17288.15122688478
Hope-Short,Haneberg & Cammel,EUR,2021-01-26T20:58:14.931314Z,19078.051453841483,19078.051453841483,0.0
Wagenvoort Groep,Langlois S.A.R.L.,EUR,2021-02-06T18:04:17.050639Z,2215.351806640625,86480.63359412043,84265.2817874798
Goudriaan NV,Armstrong Inc,EUR,2021-02-17T22:01:49.601367Z,16925.26,70171.7265625,53246.466562500005
Legendre Maury S.A.,Poirier S.A.R.L.,EUR,2021-03-12T19:33:37.302855Z,14558.664132882883,14558.664132882883,0.0
Hope-Short,Le Gall SARL,EUR,2021-03-19T18:17:03.505818Z,84790.75722492154,84790.75722492154,0.0
Fabre SA,Coolen NV,EUR,2021-03-30T20:04:14.860337Z,47842.40086294159,53502.31551776495,5659.914654823362
Bosch & van Haspengouw,Putz,EUR,2021-04-19T16:10:18.542939Z,94854.73300074959,94854.73300074959,0.0
Hanegraaff & Hekker,Koninklijke Stinis,EUR,2021-04-20T16:25:55.88611Z,21957.253074703916,21957.253074703916,0.0
Evans-Davison,Kostolzin AG,EUR,2021-05-03T03:21:40.308714Z,87551.01088326822,87551.01088326822,0.0
"Wilkinson, Bennett and Stanley",Koninklijke Stinis,EUR,2021-05-17T03:49:33.642464Z,77069.66007440025,77069.66007440025,0.0
Gröttner,Cichorius,EUR,2021-05-20T19:24:26.507396Z,96933.6327912048,96933.6327912048,0.0
Leblanc S.A.S.,Koninklijke Stinis,EUR,2021-06-01T16:48:05.690693Z,37212.01538617269,2456.847900390625,-34755.16748578206
Langlois S.A.R.L.,van der Noot & Jonkman,EUR,2021-06-02T04:33:02.366084Z,20306.728603603602,20306.728603603602,0.0
Bourdon S.A.,Gröttner,EUR,2021-07-17T00:09:29.456805Z,51314.28179824561,4838.85107421875,-46475.43072402686
Teixeira S.A.S.,Schofield PLC,EUR,2021-07-17T01:31:02.375557Z,24633.184788406827,24633.184788406827,0.0
Fabre SA,Fabre S.A.,EUR,2021-08-04T11:18:49.97038Z,98437.01216594924,10524.847774793294,-87912.16439115595
"Jones, Smith and Waters",Schmitt,EUR,2021-08-12T22:50:48.596714Z,97499.684,19725.347469179706,-77774.33653082029
Welch-Ryan,Fitzgerald Inc,EUR,2021-08-14T01:16:54.284687Z,97687.875,39381.504860123285,-58306.370139876715
"Johnston, Woodward and Anderson",Wagenvoort Groep,EUR,2021-08-17T18:18:50.617244Z,57925.625,27096.9296875,-30828.6953125
Goudriaan NV,Leconte,EUR,2021-08-26T23:13:39.270488Z,66755.43808490822,66755.43808490822,0.0
Royal Schagen,Hayes and Sons,EUR,2021-08-28T05:53:08.745577Z,45929.18370673305,49710.6484375,3781.464730766951
Johnson-Dawson,Gröttner,EUR,2021-09-18T19:24:37.060406Z,44503.6953125,44503.6953125,0.0
Gröttner,Cameron-Buckley,EUR,2021-09-19T10:48:47.445437Z,62549.25615573439,99831.5546875,37282.29853176561
Fabre S.A.,Evans-Davison,EUR,2021-09-22T00:33:18.546413Z,109425.97539126386,109425.97539126386,0.0
