name,currency,timestamp,current_amount
"Johnson, Hope and Evans",EUR,2021-02-13T04:10:05.637791Z,-24115.694528836542
Jäntsch Schweitzer GmbH & Co. KG,EUR,2021-06-29T20:16:32.150661Z,81698.37059672031
Le Gall SARL,EUR,2021-01-17T03:19:46.124424Z,-62063.2363
Le Gall SARL,EUR,2021-05-04T16:31:28.868586Z,86064.07064959696
Leblanc S.A.S.,EUR,2021-09-05T23:48:20.98333Z,-29659.890625
Poirier S.A.R.L.,EUR,2021-05-04T20:21:14.86792Z,18371.337890625
Poirier S.A.R.L.,EUR,2021-07-01T16:39:40.610573Z,32762.579556382225
Putz,EUR,2022-09-02T17:37:10.346544Z,93033.7695
"Sanderson, Fox and Holland",EUR,2021-03-25T00:30:43.804192Z,60223.554557847325
Schmitt,EUR,2021-03-25T00:30:43.804192Z,-69639.7498
Schofield PLC,EUR,2021-07-31T13:57:03.904403Z,89476.03508881519
"Stokes, Adams and Robinson",EUR,2021-11-12T09:36:32.657505Z,93229.57186704979
Wagenvoort Groep,EUR,2021-07-10T11:53:32.50837Z,37660.80983526031
van der Noot & Jonkman,EUR,2021-01-09T16:14:41.160841Z,49652.913535023785
Bender Scheibe GmbH & Co. OHG,EUR,2021-02-06T04:43:42.270748Z,-7351.75048828125
Coolen NV,EUR,2021-09-19T10:48:47.445437Z,47151.00832740635
"Cooper, Bailey and Barker",EUR,2021-01-25T16:38:13.468669Z,59432.30669222593
Fabre S.A.,EUR,2021-07-02T08:48:14.947146Z,32325.86904338549
Ferreira S.A.R.L.,EUR,2022-07-24T09:36:06.29348Z,80467.4611
Fitzgerald Inc,EUR,2021-04-20T15:11:24.105091Z,-53003.79909403786
"Forster, Mitchell and Hall",EUR,2021-02-25T07:48:00.635028Z,-55678.68732219061
"Forster, Mitchell and Hall",EUR,2021-07-19T08:31:12.675111Z,-45710.5152027027
Goudriaan NV,EUR,2021-10-18T15:18:20.778045Z,10414.180529722138
"Gough, Evans and Blackburn",EUR,2021-02-19T02:26:35.157218Z,-67279.43760079729
Haneberg & Cammel,EUR,2021-02-09T13:22:30.111469Z,-20264.874166647736
Haneberg & Cammel,EUR,2021-05-07T17:02:22.190687Z,-93823.15789398964
Henderson-Wright,EUR,2022-05-12T14:50:40.686464Z,54723.5238
Koninklijke van Brunswijk,EUR,2021-01-06T02:45:09.566611Z,-31707.162109375
Langlois S.A.R.L.,EUR,2021-09-06T07:46:32.487601Z,87724.19411854897
Leblanc S.A.S.,EUR,2021-07-14T05:26:08.064539Z,-5175.945955082739
Leconte,EUR,2022-02-22T03:52:50.137432Z,54385.9044
Leduc,EUR,2021-06-25T09:31:11.618385Z,76089.46256587315
Portaal,EUR,2021-04-12T22:29:10.862772Z,77224.52348434944
Portaal,EUR,2021-07-22T23:58:39.561568Z,-18105.699
Putz,EUR,2021-07-18T02:53:36.97852Z,-105496.03447835271
Putz,EUR,2021-12-08T07:13:02.3566Z,-10624.9791
Roussel,EUR,2021-01-21T08:45:17.282506Z,63532.71692745377
Schmitt,EUR,2021-11-13T01:22:00.858307Z,53674.9765625
"Simpson, Thompson and Lamb",EUR,2021-10-18T18:28:16.713012Z,113327.0524316282
Welch-Ryan,EUR,2021-07-09T05:57:11.144731Z,58746.20703125
"Wilkinson, Bennett and Stanley",EUR,2021-09-28T12:36:16.00997Z,-82233.58101781557
Winters Groep,EUR,2021-09-30T04:32:51.551226Z,4846.070511610144
de Koning NV,EUR,2021-06-06T11:06:54.950438Z,53095.138678003845
Andrews-Finch,EUR,2021-11-17T15:47:02.670734Z,-642.6203002929688
Bailey-Bolton,EUR,2021-01-17T14:48:16.852935Z,16040.489335016196
Bailey-Bolton,EUR,2023-05-17T09:49:54.526892Z,5004.9713
Bosch & van Haspengouw,EUR,2021-09-19T04:13:54.264296Z,73536.00362160412
Cichorius,EUR,2021-05-20T19:24:26.507396Z,-96933.6327912048
Cichorius,EUR,2023-03-08T12:11:37.144536Z,10467.171
"Cooper, Bailey and Barker",EUR,2021-11-10T00:53:28.750649Z,80364.5390625
Didier,EUR,2021-03-02T06:25:08.658882Z,90932.4102062589
Ferreira S.A.R.L.,EUR,2021-05-07T17:02:22.190687Z,-28834.369140625
"Forster, Mitchell and Hall",EUR,2021-11-18T14:48:39.952667Z,36434.46983167378
Goudriaan NV,EUR,2021-03-19T13:43:33.691583Z,10095.397849397486
Goudriaan NV,EUR,2021-07-06T11:03:54.643487Z,59298.38151002126
"Johnston, Woodward and Anderson",EUR,2021-10-18T15:18:20.778045Z,10414.180529722138
Jäntsch Schweitzer GmbH & Co. KG,EUR,2021-03-22T16:30:37.899075Z,-43473.171875
Kaul GbR,EUR,2021-03-02T17:27:46.357793Z,-15764.313624544488
Kusch,EUR,2023-01-23T16:59:22.693964Z,76166.8426
Le Gall SARL,EUR,2021-03-19T18:17:03.505818Z,-84790.75722492154
Putz,EUR,2021-10-30T16:53:59.026813Z,62457.98774547019
Putz,EUR,2021-11-07T09:39:30.419397Z,61280.8757
Salz,EUR,2021-10-12T03:53:03.880302Z,9782.664489468812
"Sanderson, Fox and Holland",EUR,2021-07-31T18:12:40.719529Z,30635.300666965744
"Simpson, Thompson and Lamb",EUR,2021-08-06T16:32:50.588085Z,-47317.19931883745
Striebitz,EUR,2021-03-07T00:53:37.352118Z,-4657.786956549246
Striebitz,EUR,2021-08-31T07:08:35.215198Z,-11357.368193343404
Wagenvoort Groep,EUR,2022-09-05T10:53:26.78199Z,-69578.7096
Armstrong Inc,EUR,2021-11-02T16:10:59.343612Z,-80394.68498103367
Bosch & van Haspengouw,EUR,2021-11-10T00:18:05.736115Z,-77459.2676011948
"Cooper, Bailey and Barker",EUR,2021-09-24T20:22:16.227261Z,-36848.46194879089
Delahaye,EUR,2021-03-22T17:31:52.591985Z,-31752.311522048363
Evans-Davison,EUR,2022-02-02T09:30:18.476123Z,34007.2376
Haneberg & Cammel,EUR,2021-11-20T16:53:11.16575Z,1969.9820556640625
Hayes and Sons,EUR,2021-07-10T11:53:32.50837Z,-37660.80983526031
Hope-Short,EUR,2021-05-03T12:42:19.396341Z,66598.8206
"Howard, McCarthy and Harris",EUR,2021-12-20T08:02:15.195591Z,16767.583
"Johnson, Hope and Evans",EUR,2022-10-23T00:59:44.959795Z,97499.684
Jäntsch Schweitzer GmbH & Co. KG,EUR,2021-04-18T22:52:57.205197Z,19040.547949265056
Kaul GbR,EUR,2021-09-28T22:49:17.780274Z,-112286.73741879429
Koninklijke van Brunswijk,EUR,2021-08-23T20:55:10.620186Z,22505.721574805142
Leconte,EUR,2021-06-22T15:57:45.234228Z,93371.9140625
Lesage,EUR,2021-09-07T15:05:44.417726Z,-5031.705078125
Maillard,EUR,2023-02-21T15:05:25.837501Z,-54204.6694
Mars,EUR,2021-08-06T13:14:03.099027Z,13434.806640625
Merle,EUR,2021-02-02T12:31:19.851022Z,2991.9319
Moran PLC,EUR,2021-07-22T16:19:04.135889Z,-92699.16774218038
Nelson Group,EUR,2021-03-30T02:14:00.85037Z,58116.50960170697
Poirier S.A.R.L.,EUR,2023-04-27T10:41:29.657485Z,-12324.45
"Simpson, Thompson and Lamb",EUR,2021-08-26T23:13:39.270488Z,86677.54042666261
"Smith, Francis and Hurst",EUR,2021-03-30T22:47:25.272214Z,87839.45901660087
Valette Fleury SA,EUR,2021-07-11T15:42:07.549918Z,-72856.25188107623
Winters Groep,EUR,2021-01-23T03:19:01.236297Z,41023.73755334282
Armstrong Inc,EUR,2021-09-10T22:21:45.749008Z,-34914.4140625
Bender Scheibe GmbH & Co. OHG,EUR,2021-09-30T04:32:51.551226Z,16416.495917614982
Cichorius,EUR,2021-03-28T19:15:22.519521Z,45912.8431
Coolen NV,EUR,2021-10-26T11:28:21.583884Z,-90863.47943338075
Drub Mende e.V.,EUR,2022-02-28T15:30:15.84866Z,85694.8411
Evans-Davison,EUR,2021-06-19T20:07:34.694589Z,-82507.9296875
Fabre S.A.,EUR,2021-05-25T13:03:04.292717Z,41032.3203125
Fabre S.A.,EUR,2022-01-11T21:01:59.908251Z,2581.744
Fischer,EUR,2021-05-02T12:04:30.16243Z,99906.5363
Goudriaan NV,EUR,2022-10-24T17:07:09.570349Z,-4007.6763
Henderson-Wright,EUR,2021-12-24T01:48:34.330455Z,-72352.6847
Hope-Short,EUR,2021-03-04T10:35:22.01179Z,26697.23208505588
Hope-Short,EUR,2021-03-19T18:17:03.505818Z,84790.75722492154
Hope-Short,EUR,2021-06-26T05:01:47.414767Z,-16327.844834990572
"Johnston, Woodward and Anderson",EUR,2021-09-15T06:08:17.562245Z,-16273.366721707664
Lesage,EUR,2021-02-21T11:24:17.267014Z,18235.71198380429
"Simpson, Thompson and Lamb",EUR,2021-01-30T11:20:03.563063Z,-96914.4223226035
"Simpson, Thompson and Lamb",EUR,2021-09-06T03:06:21.84795Z,40897.9221
"Smith, Francis and Hurst",EUR,2021-05-24T22:21:35.557306Z,26129.13036391655
Stichting Mol,EUR,2021-09-09T01:03:16.451177Z,23625.45012734531
Bosch & van Haspengouw,EUR,2021-03-29T15:54:13.097227Z,-79521.04843607653
Bourdon S.A.,EUR,2021-07-15T07:15:25.82732Z,87668.79297060218
"Cooper, Bailey and Barker",EUR,2021-04-10T03:46:25.74539Z,-76600.73642721669
Evans-Davison,EUR,2021-04-18T00:14:59.853389Z,51376.26014361485
Evans-Davison,EUR,2021-07-02T11:58:36.60612Z,4074.4206377430064
Evans-Davison,EUR,2021-09-28T22:49:17.780274Z,-20495.416015625
Ferreira S.A.R.L.,EUR,2021-07-25T17:42:04.55846Z,-14974.8037109375
Fischer,EUR,2021-06-02T14:43:17.365464Z,81434.796875
Freudenberger Grein Groth GmbH & Co. KG,EUR,2021-09-06T15:22:08.345109Z,27403.3643018018
Guibert S.A.S.,EUR,2021-09-07T15:05:44.417726Z,56106.11328125
Guibert S.A.S.,EUR,2021-12-25T04:05:29.44961Z,-97489.8275
Johnson-Dawson,EUR,2021-02-23T09:40:45.276959Z,-81279.96875
Johnson-Dawson,EUR,2021-08-03T14:53:33.151879Z,-46909.795473775666
Jäntsch Schweitzer GmbH & Co. KG,EUR,2021-05-27T06:13:58.494736Z,-56385.6015625
Jäntsch Schweitzer GmbH & Co. KG,EUR,2022-02-11T15:16:09.734873Z,37393.4917
Kaul GbR,EUR,2021-02-21T12:19:47.923948Z,-71035.28775486012
Koninklijke van Brunswijk,EUR,2021-04-12T14:38:28.232432Z,-79624.6953125
Kostolzin AG,EUR,2021-11-02T06:28:56.144496Z,-87322.0868895211
Kostolzin AG,EUR,2022-08-02T20:08:10.350692Z,35479.5874
Kusch,EUR,2021-03-16T20:02:05.785033Z,-20503.12109375
Kusch,EUR,2021-10-27T23:31:50.089131Z,90524.4609375
Leconte,EUR,2021-06-10T05:07:11.612144Z,-9144.954473387861
Merle,EUR,2022-07-02T08:42:49.251035Z,99906.5363
Moran PLC,EUR,2021-01-31T14:26:57.827147Z,-48334.063092697965
Portaal,EUR,2021-06-27T10:40:45.720447Z,-57321.81663756453
Putz,EUR,2021-04-30T11:01:09.590427Z,-8089.084198924166
Putz,EUR,2021-07-12T07:39:27.570298Z,-5004.9713
Roussel,EUR,2021-06-19T20:07:34.694589Z,-33755.2552
Salz,EUR,2021-09-07T15:05:44.417726Z,-113127.30343108304
Schofield PLC,EUR,2021-05-19T19:27:17.985914Z,-99983.25045551169
Schofield PLC,EUR,2021-08-17T21:36:21.682172Z,82804.6155354793
Valette Fleury SA,EUR,2021-10-04T18:36:09.838251Z,29670.21269865371
"Wilkinson, Bennett and Stanley",EUR,2021-06-26T23:50:03.458255Z,-27568.563999392652
van der Noot & Jonkman,EUR,2021-01-31T04:15:29.454954Z,-75123.37020715972
Bender Scheibe GmbH & Co. OHG,EUR,2021-10-13T05:23:23.52166Z,-49181.314453125
Coolen NV,EUR,2021-03-30T20:04:14.860337Z,-53502.31551776495
"Forster, Mitchell and Hall",EUR,2021-07-02T08:48:14.947146Z,-32325.86904338549
Guibert S.A.S.,EUR,2021-06-15T19:54:50.936029Z,41266.91796875
Henderson-Wright,EUR,2021-07-11T10:17:31.234191Z,85578.31005162466
Johnson-Dawson,EUR,2021-08-15T21:19:40.259464Z,2833.9843
"Jones, Shepherd and Price",EUR,2022-09-07T01:15:19.353066Z,25267.205
Kusch,EUR,2021-04-11T06:20:35.855091Z,58389.8610689341
Maillard,EUR,2021-07-11T21:53:01.916782Z,12297.278515348213
Mars,EUR,2021-03-22T16:30:37.899075Z,47151.00832740635
Morin Boulanger et Fils,EUR,2021-10-01T05:02:37.402717Z,-66854.78899952584
Nelson Group,EUR,2022-10-06T01:53:16.523443Z,-1968.9488
Pruvost,EUR,2021-04-12T22:29:10.862772Z,-77224.52348434944
Royal Bastiaanse,EUR,2021-07-13T06:58:46.802136Z,33690.11576916629
Royal Schagen,EUR,2022-09-16T01:33:06.282759Z,12914.8986
Sontag,EUR,2021-10-05T07:43:46.510206Z,32291.134765625
Stichting Mol,EUR,2021-09-20T04:50:34.113048Z,85206.79231863443
Striebitz,EUR,2021-01-04T17:28:15.613153Z,-90835.6095538797
Teixeira S.A.S.,EUR,2021-10-17T20:18:33.531843Z,76199.38758983703
Teixeira S.A.S.,EUR,2023-01-05T21:30:01.512666Z,25707.1445
Armstrong Inc,EUR,2022-04-27T21:58:43.182241Z,-37000.8482
"Cooke, Cook and Bell",EUR,2021-10-16T04:53:43.38928Z,7303.171104742383
Croon Elektrotechniek,EUR,2021-01-19T11:08:11.925188Z,243.60731259631342
Georges S.A.,EUR,2021-05-02T12:04:30.16243Z,49755.97
Guillon Lesage S.A.,EUR,2021-09-10T00:54:03.634564Z,55580.4129
Haneberg & Cammel,EUR,2021-03-01T04:21:47.86994Z,83117.01272902115
"Howard, McCarthy and Harris",EUR,2021-01-17T03:19:46.124424Z,-79380.96402323376
Johnson Group,EUR,2021-05-21T06:31:52.767821Z,95910.31955410467
"Johnson, Hope and Evans",EUR,2023-02-21T15:05:25.837501Z,54204.6694
"Jones, Smith and Waters",EUR,2021-07-18T15:16:31.639101Z,47891.94140625
Koninklijke van Brunswijk,EUR,2021-06-06T12:12:40.675074Z,-78869.80115649357
Mars,EUR,2022-10-05T09:33:43.936796Z,75281.7358
Poirier S.A.R.L.,EUR,2021-02-22T20:48:26.36961Z,-104427.08629100036
Roussel,EUR,2021-02-08T11:42:18.74947Z,-66531.1328125
Royal Bastiaanse,EUR,2021-02-19T02:26:35.157218Z,67279.43760079729
Salz,EUR,2021-09-17T01:56:45.521775Z,-75870.82294600672
Samson,EUR,2022-01-06T06:46:21.747962Z,23094.4674
"Sanderson, Fox and Holland",EUR,2021-05-08T19:33:40.903964Z,-48860.698830853325
"Simpson, Thompson and Lamb",EUR,2021-09-19T22:02:31.988172Z,-78931.18035798956
Valette Fleury SA,EUR,2023-01-29T03:10:57.359437Z,54486.258
Wagenvoort Groep,EUR,2021-04-01T23:52:40.814686Z,77844.26120199147
Winters Groep,EUR,2021-03-19T07:48:26.590598Z,8355.229866628146
Winters Groep,EUR,2022-01-13T21:33:26.058235Z,-81864.9221
Bender Scheibe GmbH & Co. OHG,EUR,2021-04-11T06:20:35.855091Z,3011.088467329689
Coolen NV,EUR,2021-07-22T16:54:45.997049Z,92985.53076102419
Coolen NV,EUR,2021-10-31T06:24:48.483852Z,-3982.8678764629076
Delahaye,EUR,2021-05-13T14:17:58.831074Z,61356.46707562826
Delahaye,EUR,2021-09-27T02:25:35.410983Z,76203.80035934811
Evans-Davison,EUR,2021-10-11T04:42:29.104456Z,37149.96875
Fischer,EUR,2021-03-13T15:56:27.629652Z,82634.72024656236
Georges S.A.,EUR,2023-05-12T16:50:07.589362Z,-90439.2113
Guillon Lesage S.A.,EUR,2021-07-22T06:03:52.225093Z,-97752.58417283754
Haneberg & Cammel,EUR,2021-07-28T06:55:17.799511Z,14625.4921875
Johnson-Dawson,EUR,2021-02-12T02:58:45.266032Z,70523.69073545112
Leduc,EUR,2021-07-29T03:28:49.150995Z,46337.16747541114
Poirier S.A.R.L.,EUR,2022-08-20T17:24:57.430908Z,-73773.5821
Royal Schagen,EUR,2021-05-26T19:15:01.067989Z,51829.48416630701
Samson,EUR,2021-05-14T04:40:58.876328Z,-27582.546860093356
Samson,EUR,2021-05-27T06:49:11.800227Z,17039.806660593178
Schofield PLC,EUR,2021-02-09T17:38:14.383804Z,-44226.78867420791
Schofield PLC,EUR,2021-05-14T10:49:47.61083Z,26725.94387150308
Teixeira S.A.S.,EUR,2021-04-30T06:27:55.439527Z,90900.86926814455
Trespa,EUR,2021-10-17T23:23:18.26368Z,-70119.203125
de Koning NV,EUR,2022-07-12T16:55:11.474603Z,96635.2127
le Gallen & van Gelder,EUR,2021-03-24T03:56:30.583916Z,-63479.65234375
van der Noot & Jonkman,EUR,2021-09-01T10:30:15.144381Z,-156098.390625
van der Noot & Jonkman,EUR,2021-09-21T04:37:09.631835Z,86913.6987069553
Auger Legros SARL,EUR,2021-03-19T18:04:35.468448Z,-69685.6796875
Bosch & van Haspengouw,EUR,2021-04-07T15:08:45.456966Z,11791.252277558457
Delahaye,EUR,2021-03-31T22:49:03.509099Z,55580.4129
Delahaye,EUR,2021-10-01T09:53:53.052319Z,81552.713
Evans-Davison,EUR,2021-02-23T07:16:13.464087Z,-81767.9140625
Fabre SA,EUR,2022-12-18T04:54:58.253708Z,16484.462
"Forster, Mitchell and Hall",EUR,2021-08-15T01:08:18.821693Z,73545.26730678047
Freudenberger Grein Groth GmbH & Co. KG,EUR,2021-11-16T17:48:11.382815Z,91622.255
Goudriaan NV,EUR,2021-09-28T12:36:16.00997Z,37803.324294689424
"Gough, Evans and Blackburn",EUR,2021-01-28T18:34:13.509071Z,-77855.5669155998
"Gough, Evans and Blackburn",EUR,2021-10-12T03:50:10.191571Z,-61153.68658131816
Groen & de Leeuw,EUR,2021-06-06T11:06:54.950438Z,-37648.689396633476
Guillon Lesage S.A.,EUR,2023-01-08T02:18:52.396447Z,20404.4219
Hayes and Sons,EUR,2021-10-11T09:36:11.230347Z,-92986.66429587483
"Howard, McCarthy and Harris",EUR,2021-03-05T02:01:03.683923Z,-24244.73771949319
"Howard, McCarthy and Harris",EUR,2021-04-06T20:22:48.946263Z,-51860.27734375
"Johnston, Woodward and Anderson",EUR,2021-02-25T16:25:08.858435Z,-87009.51829638628
"Jones, Smith and Waters",EUR,2021-10-26T09:14:15.624059Z,97810.2265625
"Kaur, Kemp and Turner",EUR,2021-02-16T23:21:31.120307Z,72894.0181958274
Kostolzin AG,EUR,2022-05-18T12:06:58.908538Z,-20801.736
Kusch,EUR,2021-09-02T23:35:49.516592Z,-33716.243894878025
Leblanc S.A.S.,EUR,2021-07-26T13:19:27.976833Z,33444.277318048385
Leduc,EUR,2021-01-19T17:05:37.661911Z,-48215.2166211155
Lesage,EUR,2021-01-21T08:45:17.282506Z,-63532.71692745377
Morin Boulanger et Fils,EUR,2021-09-08T10:54:30.63308Z,79441.18548973287
Samson,EUR,2022-02-24T03:31:30.79837Z,-93485.188
Schofield PLC,EUR,2022-02-21T06:47:35.235527Z,-20083.9117
Scholz AG,EUR,2021-07-29T23:58:35.424526Z,-98223.38561068961
Sontag,EUR,2021-09-15T03:27:00.383719Z,-44976.97265625
"Wilkinson, Bennett and Stanley",EUR,2022-04-08T12:22:38.650216Z,-11635.1973
Delahaye,EUR,2021-02-21T06:55:11.191433Z,-23174.20256564601
Ehlert,EUR,2021-03-04T16:12:49.102207Z,-1735.231054965327
Fitzgerald Inc,EUR,2021-01-19T04:23:44.085258Z,-38628.661
Georges S.A.,EUR,2021-07-03T06:59:37.847062Z,-52552.590830962545
Gröttner,EUR,2021-02-05T04:13:04.071475Z,-6899.400531173337
Gröttner,EUR,2021-10-30T07:26:52.252923Z,1736.9798583984375
Johnson Group,EUR,2021-08-17T18:18:50.617244Z,-12351.1861
Johnson-Dawson,EUR,2022-07-31T18:37:40.25898Z,71380.5007
"Johnston, Woodward and Anderson",EUR,2022-12-18T10:03:11.593249Z,-60497.7823
Merle,EUR,2021-09-23T00:56:34.736611Z,55361.53868053447
Royal Schagen,EUR,2021-02-12T02:58:45.266032Z,79075.03447970442
"Simpson, Thompson and Lamb",EUR,2021-06-02T14:43:17.365464Z,-81434.796875
le Gallen & van Gelder,EUR,2021-08-23T05:38:20.210844Z,72303.3872688478
Bosch & van Haspengouw,EUR,2021-05-07T17:02:22.190687Z,-30157.944299558196
"Cooper, Bailey and Barker",EUR,2022-06-09T17:23:27.574309Z,96347.383
Ehlert,EUR,2022-11-16T05:29:14.086565Z,23960.5
Ferreira S.A.R.L.,EUR,2022-05-07T23:36:39.025056Z,41258.6767
"Gough, Evans and Blackburn",EUR,2023-04-12T08:18:25.674587Z,-62873.488
Grein Groth,EUR,2021-02-28T20:36:17.274266Z,-86350.484375
Guibert S.A.S.,EUR,2021-04-12T22:29:10.862772Z,206.88870239257812
Guillon Lesage S.A.,EUR,2021-10-11T09:36:11.230347Z,-14599.731618954482
Hope-Short,EUR,2021-08-04T11:18:49.97038Z,-98437.01216594924
"Johnson, Hope and Evans",EUR,2021-05-22T01:50:23.165597Z,-80006.4609375
"Jones, Smith and Waters",EUR,2021-02-06T11:46:03.92165Z,-76509.86101232813
"Kaur, Kemp and Turner",EUR,2021-05-28T19:09:06.204727Z,-46193.768821490026
Leblanc S.A.S.,EUR,2021-10-15T07:11:13.387828Z,-1533.193115234375
Leconte,EUR,2022-02-25T16:29:27.209476Z,-98827.7993
Maillard,EUR,2021-03-01T21:33:12.26125Z,77213.81845328475
Maillard,EUR,2021-07-22T23:58:39.561568Z,-85565.3752072733
Poirier S.A.R.L.,EUR,2021-08-17T13:56:41.853514Z,49738.1661
Pruvost,EUR,2021-07-29T11:02:06.782795Z,68722.08409251948
Royal Schagen,EUR,2021-08-28T05:53:08.745577Z,45929.18370673305
Ruppert GmbH & Co. KG,EUR,2021-10-07T03:01:52.55137Z,22040.202070047577
Samson,EUR,2021-09-30T02:44:59.806226Z,82551.5851174208
Stichting Mol,EUR,2021-06-06T15:56:15.816055Z,60143.517815568375
Stichting Mol,EUR,2021-11-12T10:19:29.372257Z,63952.78969278267
"Stokes, Adams and Robinson",EUR,2021-10-21T06:47:00.890197Z,41416.240999227695
Striebitz,EUR,2021-07-11T15:42:07.549918Z,92697.8046875
Winters Groep,EUR,2023-02-15T07:31:51.291384Z,6941.973
de Koning NV,EUR,2021-02-26T17:28:21.937607Z,34444.14453125
Andrews-Finch,EUR,2021-07-14T13:22:26.872077Z,-69005.52690848743
Bourdon S.A.,EUR,2021-03-16T12:45:39.289918Z,-78458.00373091949
Cichorius,EUR,2021-04-21T19:19:24.359831Z,11144.1630859375
Didier,EUR,2021-08-03T14:53:33.151879Z,46909.795473775666
Fabre S.A.,EUR,2021-05-22T03:10:30.628868Z,89237.25699383594
"Forster, Mitchell and Hall",EUR,2023-03-08T05:48:43.108109Z,-75652.8116
Goudriaan NV,EUR,2021-05-24T22:21:35.557306Z,-13913.872505757161
"Gough, Evans and Blackburn",EUR,2021-04-11T03:57:54.610535Z,45329.27884506178
"Gough, Evans and Blackburn",EUR,2021-07-11T19:30:19.194493Z,103403.62110723696
Grein Groth,EUR,2021-03-19T15:08:37.942964Z,9144.90530734386
Henderson-Wright,EUR,2021-01-14T23:37:46.500077Z,-94640.6015625
Henderson-Wright,EUR,2021-10-11T05:16:54.634112Z,-64888.974
Hope-Short,EUR,2021-08-28T20:08:10.094387Z,-2974.654296875
"Howard, McCarthy and Harris",EUR,2021-08-29T23:35:26.28512Z,85253.98730893816
Johnson-Dawson,EUR,2021-09-22T15:21:21.234452Z,-17752.235582622096
Kostolzin AG,EUR,2021-05-28T03:16:59.218102Z,-29783.00216334756
Kusch,EUR,2021-06-17T22:02:20.777179Z,-35214.10196710885
